Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
Vishudh,Women Lime Embroidered Straight Kurta with Regular Pants and Organza Dupatta,1697.0,4849.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-lime-embroidered-straight-kurta-with-regular-pants-and-organza-dupatta/32376360/buy
Sangria,Purple & Gold Toned Zari Embroidered Straight Kurta With Trouser & Dupatta,1539.0,5499.0,3.9,667.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-purple--gold-toned-zari-embroidered-straight-kurta-with-trouser--dupatta/27157090/buy
Vishudh,Women Pink Kurta with Trousers & With Dupatta,917.0,2699.0,3.8,243.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-pink-kurta-with-trousers--with-dupatta/18688422/buy
Anayna,Women Ethnic Motifs Printed Kurta,498.0,1998.0,4.3,1.0,Women Clothing,https://www.myntra.com/kurtas/anayna/anayna-women-ethnic-motifs-printed-kurta/26972236/buy
Vishudh,Women Embroidered Straight Sleeveless Kurta Set with Slim Pants and Tissue Dupatta,2303.0,7199.0,4.0,11.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-embroidered-straight-sleeveless-kurta-set-with-slim-pants-and-tissue-dupatta/32611593/buy
Gulmohar Jaipur,Floral Embroidered V-Neck Anarkali Kurta,799.0,1799.0,4.4,54.0,Women Clothing,https://www.myntra.com/kurtas/gulmohar+jaipur/gulmohar-jaipur-floral-embroidered-v-neck-anarkali-kurta/33038931/buy
Vishudh,Floral Embroidered Regular Kurta with Trousers,1751.0,5649.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-floral-embroidered-regular-kurta-with-trousers/27145660/buy
Sangria,Burgundy Floral Printed V-Neck Straight Kurta With Trousers,1119.0,3999.0,4.1,228.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-burgundy-floral-printed-v-neck-straight-kurta-with-trousers/30314814/buy
Kalini,Floral Printed Round Neck Anarkali Kurta With Trousers & Dupatta,949.0,4999.0,4.2,467.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-round-neck-anarkali-kurta-with-trousers--dupatta/33193616/buy
Vishudh,Women Printed Kurta with Bottom and Dupatta,1994.0,5249.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-printed-kurta-with-bottom-and-dupatta/32611603/buy
Physil,Women Floral Printed Thread Work Kurta,499.0,1499.0,3.7,112.0,Women Clothing,https://www.myntra.com/kurtas/physil/physil-women-floral-printed-thread-work-kurta/35197962/buy
Vishudh,Black Floral Printed Regular Kurta With Trousers & Dupatta,1435.0,4349.0,4.1,15.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-black-floral-printed-regular-kurta-with-trousers--dupatta/26620544/buy
Physil,Women Floral Printed Regular Aline Calf Length Kurta with Trousers,599.0,2499.0,3.8,560.0,Women Clothing,https://www.myntra.com/kurta-sets/physil/physil-women-floral-printed-regular-aline-calf-length-kurta-with-trousers/34042340/buy
Sangria,Green Floral Embroidered V Neck Anarkali Kurta With Trouser & Dupatta,1714.0,6349.0,4.1,147.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-green-floral-embroidered-v-neck-anarkali-kurta-with-trouser--dupatta/30617428/buy
Vishudh,Women Purple Panelled Kurti with Skirt & With Jacket,1219.0,3949.0,4.0,914.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-purple-panelled-kurti-with-skirt--with-jacket/18788308/buy
Anouk,Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta,774.0,2499.0,4.3,1.0,Women Clothing,https://www.myntra.com/kurtas/anouk/anouk-maroon-ethnic-motifs-embroidered-round-neck-thread-work-straight-kurta/30104320/buy
Anouk,Floral Printed Panelled V-Neck Pure Cotton A-Line Kurta With Palazzos & Dupatta,1749.0,6999.0,3.9,101.0,Women Clothing,https://www.myntra.com/kurta-sets/anouk/anouk-floral-printed-panelled-v-neck-pure-cotton-a-line-kurta-with-palazzos--dupatta/33419571/buy
Vishudh,Women Ethnic Motifs Regular Kurta with Trousers & With Dupatta,1633.0,4949.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-ethnic-motifs-regular-kurta-with-trousers--with-dupatta/31668664/buy
Fiorra,Women Floral Printed Cotton Kurta with Trousers,1214.0,3799.0,4.2,154.0,Women Clothing,https://www.myntra.com/kurta-sets/fiorra/fiorra-women-floral-printed-cotton-kurta-with-trousers/33826799/buy
Varanga,Maroon Zari Work textured Kurta with Trouser and Printed Dupatta,999.0,5599.0,4.0,1.0,Women Clothing,https://www.myntra.com/kurta-sets/varanga/varanga-maroon-zari-work-textured-kurta-with-trouser-and-printed-dupatta/28727166/buy
Larqi,Floral Embroidered V-Neck Patchwork Pure Cotton Kurta With Trousers & Dupatta,1985.0,3970.0,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-floral-embroidered-v-neck-patchwork-pure-cotton-kurta-with-trousers--dupatta/36198737/buy
Libas,Women Black Pure Cotton Yoke Design Panelled Kurta with Palazzos & Dupatta,1249.0,3499.0,4.3,12.0,Women Clothing,https://www.myntra.com/kurta-sets/libas/libas-women-black-pure-cotton-yoke-design-panelled-kurta-with-palazzos--dupatta/15055280/buy
Gosriki,Floral Printed Round Neck Anarkali Kurta With Trousers & Dupatta,1097.0,4345.0,3.6,1.0,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-floral-printed-round-neck-anarkali-kurta-with-trousers--dupatta/30800798/buy
Vishudh,Ethnic Motifs Embroidered Regular Thread Work Kurta with Trousers & With Dupatta,1377.0,4749.0,4.0,5.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-ethnic-motifs-embroidered-regular-thread-work-kurta-with-trousers--with-dupatta/27145648/buy
Yufta,Floral Printed Pure Cotton Maternity Anarkali Kurta With Trousers & Dupatta,1899.0,4999.0,4.4,30.0,Women Clothing,https://www.myntra.com/kurta-sets/yufta/yufta-floral-printed-pure-cotton-maternity-anarkali-kurta-with-trousers--dupatta/32631972/buy
Kjfab,Women Floral Printed Regular Pure Cotton Kurta with Harem Pants,599.0,1499.0,4.1,159.0,Women Clothing,https://www.myntra.com/kurta-sets/kjfab/kjfab-women-floral-printed-regular-pure-cotton-kurta-with-harem-pants/35554117/buy
Larqi,Women Floral Embroidered Regular Pure Cotton Kurta with Trousers & With Dupatta,1985.0,3970.0,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-women-floral-embroidered-regular-pure-cotton-kurta-with-trousers--with-dupatta/36198740/buy
Sangria,Women Floral Embroidered Anarkali Kurta with Trousers & Dupatta,1512.0,6049.0,4.7,13.0,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-women-floral-embroidered-anarkali-kurta-with-trousers--dupatta/35293992/buy
Royal Export,Floral Embroidered Sequinned Kurta with Trouser & Dupatta,879.0,5499.0,3.6,460.0,Women Clothing,https://www.myntra.com/kurta-sets/royal+export/royal-export-floral-embroidered-sequinned-kurta-with-trouser--dupatta/31874434/buy
Vishudh,Floral Embroidered Regular Thread Work Pure Cotton Kurta with Palazzos,1949.0,6449.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-floral-embroidered-regular-thread-work-pure-cotton-kurta-with-palazzos/30612526/buy
Anouk,Women Floral Printed Regular Pure Cotton Kurta with Trousers & With Dupatta,956.0,3299.0,4.2,2.0,Women Clothing,https://www.myntra.com/kurta-sets/anouk/anouk-women-floral-printed-regular-pure-cotton-kurta-with-trousers--with-dupatta/32817851/buy
Kalini,Floral Embroidered Thread Work A-Line Kurta With Trousers & Dupatta,1647.0,4225.0,3.4,1.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-embroidered-thread-work-a-line-kurta-with-trousers--dupatta/31147990/buy
Vishudh,Ethnic Motifs Printed Regular Thread Work Kurta With Trousers,1049.0,3749.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-ethnic-motifs-printed-regular-thread-work-kurta-with-trousers/26851962/buy
Gosriki,Ethnic Motifs Embroidered Kurta & Trousers With Dupatta,825.0,4345.0,3.9,867.0,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-ethnic-motifs-embroidered-kurta--trousers-with-dupatta/25405706/buy
Yufta,Floral Printed Empire Pure Cotton Maternity Anarkali Kurta With Trouser & Dupatta,1899.0,4999.0,4.3,23.0,Women Clothing,https://www.myntra.com/kurta-sets/yufta/yufta-floral-printed-empire-pure-cotton-maternity-anarkali-kurta-with-trouser--dupatta/32631960/buy
Larqi,Women Floral Embroidered Cotton Kurta with Trousers & Dupatta,1985.0,3970.0,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-women-floral-embroidered-cotton-kurta-with-trousers--dupatta/36198741/buy
Sangria,Floral Printed Floral Chanderi Silk Kurta,874.0,2499.0,4.2,205.0,Women Clothing,https://www.myntra.com/kurtas/sangria/sangria-floral-printed-floral-chanderi-silk-kurta/31656950/buy
Indo Era,Ethnic Motifs Embroidered Thread Work Kurta With Trousers & Dupatta,1899.0,6999.0,4.0,1.0,Women Clothing,https://www.myntra.com/kurta-sets/indo+era/indo-era-ethnic-motifs-embroidered-thread-work-kurta-with-trousers--dupatta/27580842/buy
Anouk Rustic,Floral Printed V-Neck Straight Kurta with Trousers & Dupatta,3099.0,,,,Women Clothing,https://www.myntra.com/kurta-sets/anouk+rustic/anouk-rustic-floral-printed-v-neck-straight-kurta-with-trousers--dupatta/33662042/buy
Libas,Floral Embroidered Panelled Thread Work A-Line Kurta With Salwar & Dupatta,1399.0,4499.0,4.0,134.0,Women Clothing,https://www.myntra.com/kurta-sets/libas/libas-floral-embroidered-panelled-thread-work-a-line-kurta-with-salwar--dupatta/30572926/buy
Varanga,Women Printed Regular Chanderi Silk Kurta with Trousers & Dupatta,1599.0,6999.0,4.1,217.0,Women Clothing,https://www.myntra.com/kurta-sets/varanga/varanga-women-printed-regular-chanderi-silk-kurta-with-trousers--dupatta/24362730/buy
Anouk Rustic,Floral Printed Kurta With Trousers & Dupatta,3099.0,,,,Women Clothing,https://www.myntra.com/kurta-sets/anouk+rustic/anouk-rustic-floral-printed-kurta-with-trousers--dupatta/33612610/buy
Kalini,Floral Printed Regular Cotton Blend Kurta with Trousers With Dupatta,783.0,2799.0,3.9,589.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-regular-cotton-blend-kurta-with-trousers-with-dupatta/30652811/buy
Ashlee,Floral Printed Pleated Cotton Anarkali Kurta,749.0,1499.0,4.5,164.0,Women Clothing,https://www.myntra.com/kurtas/ashlee/ashlee-floral-printed-pleated-cotton-anarkali-kurta/31567866/buy
Anouk Rustic,Floral Printed Straight Kurta With Trousers & Dupatta,3099.0,,,,Women Clothing,https://www.myntra.com/kurta-sets/anouk+rustic/anouk-rustic-floral-printed-straight-kurta-with-trousers--dupatta/33612567/buy
Anouk,Floral Embroidered Round Neck Chikankari Straight Kurta,959.0,2999.0,4.5,209.0,Women Clothing,https://www.myntra.com/kurtas/anouk/anouk-floral-embroidered-round-neck-chikankari-straight-kurta/29965161/buy
Janasya,Women's Off White Pure Cotton Floral Printed A-line Maternity Kurta,999.0,2698.0,4.3,80.0,Women Clothing,https://www.myntra.com/kurtas/janasya/janasya-womens-off-white-pure-cotton-floral-printed-a-line-maternity-kurta/33013736/buy
Silakiva,Floral Printed Round Neck Tiered Anarkali Maternity Kurta,579.0,2999.0,4.1,22.0,Women Clothing,https://www.myntra.com/kurtas/silakiva/silakiva-floral-printed-round-neck-tiered-anarkali-maternity-kurta/32280978/buy
Kalini,Women Green Viscose Rayon Kurta Sets,799.0,2999.0,4.0,71.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-women-green-viscose-rayon-kurta-sets/34659827/buy
Women Plus,Embroidered Regular Thread Work Kurta with Trousers & Dupatta,1299.0,4599.0,4.2,26.0,Women Clothing,https://www.myntra.com/kurta-sets/women+plus/women-plus-embroidered-regular-thread-work-kurta-with-trousers--dupatta/29980881/buy
Inweave,Checked Flared Sleeves V-Neck Cotton A-Line Kurta,681.0,2199.0,3.9,90.0,Women Clothing,https://www.myntra.com/kurtas/inweave/inweave-checked-flared-sleeves-v-neck-cotton-a-line-kurta/32217873/buy
Inddus,Women Mauve Net Floral Embroidered Sequinned Kurta with Palazzos & Dupatta,1994.0,5699.0,4.4,2.0,Women Clothing,https://www.myntra.com/kurta-sets/inddus/inddus-women-mauve-net-floral-embroidered-sequinned-kurta-with-palazzos--dupatta/14224834/buy
Vishudh,Women Ethnic Motifs Embroidered Kurta with Patiala & Dupatta,2449.0,6999.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-ethnic-motifs-embroidered-kurta-with-patiala--dupatta/35450255/buy
Khushal K,Ethnic Motifs Printed V-Neck Pure Cotton A-Line Kurta with Palazzos & Dupatta,1715.0,6599.0,4.3,3.0,Women Clothing,https://www.myntra.com/kurta-sets/khushal+k/khushal-k-ethnic-motifs-printed-v-neck-pure-cotton-a-line-kurta-with-palazzos--dupatta/30086165/buy
Larqi,Women Abstract Printed Regular Pure Cotton Kurta with Trousers,1047.0,1940.0,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-women-abstract-printed-regular-pure-cotton-kurta-with-trousers/35289657/buy
Gosriki,Women Regular A-Line Kurta With Trousers,899.0,3197.0,3.2,281.0,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-women-regular-a-line-kurta-with-trousers/35153700/buy
Women Basket,Women Bandhani Regular Kurta with Trousers,699.0,2299.0,3.8,10.0,Women Clothing,https://www.myntra.com/kurta-sets/women+basket/women-basket-women-bandhani-regular-kurta-with-trousers/34774944/buy
