Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
Royal Export,Floral Embroidered Sequinned Kurta with Trouser & Dupatta,879,5499,3.6,460,Women Clothing,https://www.myntra.com/kurta-sets/royal+export/royal-export-floral-embroidered-sequinned-kurta-with-trouser--dupatta/31874434/buy
Vishudh,Floral Embroidered Regular Thread Work Pure Cotton Kurta with Palazzos,1949,6449,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-floral-embroidered-regular-thread-work-pure-cotton-kurta-with-palazzos/30612526/buy
Anouk,Women Floral Printed Regular Pure Cotton Kurta with Trousers & With Dupatta,956,3299,4.2,2,Women Clothing,https://www.myntra.com/kurta-sets/anouk/anouk-women-floral-printed-regular-pure-cotton-kurta-with-trousers--with-dupatta/32817851/buy
KALINI,Floral Embroidered Thread Work A-Line Kurta With Trousers & Dupatta,1647,4225,3.4,1,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-embroidered-thread-work-a-line-kurta-with-trousers--dupatta/31147990/buy
Vishudh,Ethnic Motifs Printed Regular Thread Work Kurta With Trousers,1049,3749,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-ethnic-motifs-printed-regular-thread-work-kurta-with-trousers/26851962/buy
GoSriKi,Ethnic Motifs Embroidered Kurta & Trousers With Dupatta,825,4345,3.9,867,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-ethnic-motifs-embroidered-kurta--trousers-with-dupatta/25405706/buy
Yufta,Floral Printed Empire Pure Cotton Maternity Anarkali Kurta With Trouser & Dupatta,1899,4999,4.3,23,Women Clothing,https://www.myntra.com/kurta-sets/yufta/yufta-floral-printed-empire-pure-cotton-maternity-anarkali-kurta-with-trouser--dupatta/32631960/buy
Larqi,Women Floral Embroidered Cotton Kurta with Trousers & Dupatta,1985,3970,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-women-floral-embroidered-cotton-kurta-with-trousers--dupatta/36198741/buy
Sangria,Floral Printed Floral Chanderi Silk Kurta,874,2499,4.2,205,Women Clothing,https://www.myntra.com/kurtas/sangria/sangria-floral-printed-floral-chanderi-silk-kurta/31656950/buy
Indo Era,Ethnic Motifs Embroidered Thread Work Kurta With Trousers & Dupatta,1899,6999,4,1,Women Clothing,https://www.myntra.com/kurta-sets/indo+era/indo-era-ethnic-motifs-embroidered-thread-work-kurta-with-trousers--dupatta/27580842/buy
Anouk Rustic,Floral Printed V-Neck Straight Kurta with Trousers & Dupatta,3099,,,,Women Clothing,https://www.myntra.com/kurta-sets/anouk+rustic/anouk-rustic-floral-printed-v-neck-straight-kurta-with-trousers--dupatta/33662042/buy
Libas,Floral Embroidered Panelled Thread Work A-Line Kurta With Salwar & Dupatta,1399,4499,4,134,Women Clothing,https://www.myntra.com/kurta-sets/libas/libas-floral-embroidered-panelled-thread-work-a-line-kurta-with-salwar--dupatta/30572926/buy
Varanga,Women Printed Regular Chanderi Silk Kurta with Trousers & Dupatta,1599,6999,4.1,217,Women Clothing,https://www.myntra.com/kurta-sets/varanga/varanga-women-printed-regular-chanderi-silk-kurta-with-trousers--dupatta/24362730/buy
Anouk Rustic,Floral Printed Kurta With Trousers & Dupatta,3099,,,,Women Clothing,https://www.myntra.com/kurta-sets/anouk+rustic/anouk-rustic-floral-printed-kurta-with-trousers--dupatta/33612610/buy
KALINI,Floral Printed Regular Cotton Blend Kurta with Trousers With Dupatta,783,2799,3.9,589,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-regular-cotton-blend-kurta-with-trousers-with-dupatta/30652811/buy
Ashlee,Floral Printed Pleated Cotton Anarkali Kurta,749,1499,4.5,164,Women Clothing,https://www.myntra.com/kurtas/ashlee/ashlee-floral-printed-pleated-cotton-anarkali-kurta/31567866/buy
Anouk Rustic,Floral Printed Straight Kurta With Trousers & Dupatta,3099,,,,Women Clothing,https://www.myntra.com/kurta-sets/anouk+rustic/anouk-rustic-floral-printed-straight-kurta-with-trousers--dupatta/33612567/buy
Anouk,Floral Embroidered Round Neck Chikankari Straight Kurta,959,2999,4.5,209,Women Clothing,https://www.myntra.com/kurtas/anouk/anouk-floral-embroidered-round-neck-chikankari-straight-kurta/29965161/buy
Janasya,Women's Off White Pure Cotton Floral Printed A-line Maternity Kurta,999,2698,4.3,80,Women Clothing,https://www.myntra.com/kurtas/janasya/janasya-womens-off-white-pure-cotton-floral-printed-a-line-maternity-kurta/33013736/buy
SILAKIVA,Floral Printed Round Neck Tiered Anarkali Maternity Kurta,579,2999,4.1,22,Women Clothing,https://www.myntra.com/kurtas/silakiva/silakiva-floral-printed-round-neck-tiered-anarkali-maternity-kurta/32280978/buy
KALINI,Women Green Viscose Rayon Kurta Sets,799,2999,4,71,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-women-green-viscose-rayon-kurta-sets/34659827/buy
WOMEN PLUS,Embroidered Regular Thread Work Kurta with Trousers & Dupatta,1299,4599,4.2,26,Women Clothing,https://www.myntra.com/kurta-sets/women+plus/women-plus-embroidered-regular-thread-work-kurta-with-trousers--dupatta/29980881/buy
InWeave,Checked Flared Sleeves V-Neck Cotton A-Line Kurta,681,2199,3.9,90,Women Clothing,https://www.myntra.com/kurtas/inweave/inweave-checked-flared-sleeves-v-neck-cotton-a-line-kurta/32217873/buy
Inddus,Women Mauve Net Floral Embroidered Sequinned Kurta with Palazzos & Dupatta,1994,5699,4.4,2,Women Clothing,https://www.myntra.com/kurta-sets/inddus/inddus-women-mauve-net-floral-embroidered-sequinned-kurta-with-palazzos--dupatta/14224834/buy
Vishudh,Women Ethnic Motifs Embroidered Kurta with Patiala & Dupatta,2449,6999,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-ethnic-motifs-embroidered-kurta-with-patiala--dupatta/35450255/buy
Khushal K,Ethnic Motifs Printed V-Neck Pure Cotton A-Line Kurta with Palazzos & Dupatta,1715,6599,4.3,3,Women Clothing,https://www.myntra.com/kurta-sets/khushal+k/khushal-k-ethnic-motifs-printed-v-neck-pure-cotton-a-line-kurta-with-palazzos--dupatta/30086165/buy
Larqi,Women Abstract Printed Regular Pure Cotton Kurta with Trousers,1047,1940,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-women-abstract-printed-regular-pure-cotton-kurta-with-trousers/35289657/buy
GoSriKi,Women Regular A-Line Kurta With Trousers,899,3197,3.2,281,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-women-regular-a-line-kurta-with-trousers/35153700/buy
Women Basket,Women Bandhani Regular Kurta with Trousers,699,2299,3.8,10,Women Clothing,https://www.myntra.com/kurta-sets/women+basket/women-basket-women-bandhani-regular-kurta-with-trousers/34774944/buy
Janasya,Women Sky Blue Pure Cotton Ethnic Motifs Printed Straight Kurta Pant Set,1499,3498,4.6,49,Women Clothing,https://www.myntra.com/kurta-sets/janasya/janasya-women-sky-blue-pure-cotton-ethnic-motifs-printed-straight-kurta-pant-set/33011535/buy
Mizaz,Ethnic Motifs Printed Pure Cotton Mirror Work A-line Kurta & Trousers With Dupatta,1328,3499,4.2,841,Women Clothing,https://www.myntra.com/kurta-sets/mizaz/mizaz-ethnic-motifs-printed-pure-cotton-mirror-work-a-line-kurta--trousers-with-dupatta/24685114/buy
Aaghnya,Women Geometric Printed Kurta with Palazzo,699,3197,4.2,614,Women Clothing,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-geometric-printed-kurta-with-palazzo/34714613/buy
Vishudh,Beige Floral Yoke Design Thread Work Regular Pure Cotton Kurta with Trouser,1899,6199,1.9,9,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-beige-floral-yoke-design-thread-work-regular-pure-cotton-kurta-with-trouser/30192426/buy
Sangria,Floral Embroidered Sequinned A-Line Kurta With Trousers & Dupatta,1875,6699,4,248,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-floral-embroidered-sequinned--a-line-kurta-with-trousers--dupatta/32311378/buy
